(49668, 24000)
(49669, 24001)
(49670, 24002)
(49671, 24003)
(49672, 24004)
(49673, 24005)
(49674, 24006)
(49675, 24007)
(49676, 24008)
(49677, 24009)
(49678, 24010)
(49679, 24011)
(49680, 24012)
(49681, 24013)
(49682, 24014)
(49683, 24015)
(49684, 24016)
(49685, 24017)
(49686, 24018)
(49687, 24019)
(50712, 25256)
(50713, 25257)
(49690, 24022)
(49691, 24023)
(49692, 24024)
(49693, 24025)
(49694, 24026)
(49695, 24027)
(49696, 24028)
(49697, 24029)
(49698, 24030)
(49699, 24031)
(36, 3663)
(49701, 24033)
(49702, 24034)
(39, 3667)
(42, 3672)
(60, 3812)
(61, 3813)
(99, 4083)
(609, 7506)
(610, 7507)
(611, 7508)
(50311, 24742)
(50312, 24743)
(50313, 24744)
(50711, 25255)
(118927, 28536)
(118928, 28537)
(49688, 24020)
(97426, 25330)
(97427, 25334)
(97428, 25335)
(97429, 25336)
(97430, 25337)
(49689, 24021)
(97432, 25339)
(97433, 25340)
(97434, 25341)
(97435, 25342)
(97436, 25343)
(97437, 25344)
(97438, 25345)
(97439, 25346)
(97440, 25347)
(97441, 25348)
(97442, 25349)
(97443, 25350)
(97444, 25351)
(97445, 25352)
(97446, 25353)
(682, 7693)
(683, 7694)
(684, 7695)
(118966, 28606)
(118968, 28608)
(118969, 28609)
(118970, 28610)
(118971, 28611)
(118972, 28612)
(2245, 10239)
(49700, 24032)
(49703, 24035)
(1775, 9355)
(1776, 9356)
(42276, 20824)
(42277, 20825)
(97431, 25338)
(1941, 9781)
(1942, 9782)
(1943, 9783)
(1944, 9784)
(122854, 10000068)
(122855, 10000069)
(122856, 10000070)
