(629, 13)
(3419, 13)
(3662, 2)
(3663, 14)
(3664, 3)
(3666, 16)
(3667, 17)
(3668, 15)
(3670, 2)
(3672, 14)
(3673, 1)
(3674, 16)
(3675, 17)
(3676, 15)
(3782, 13)
(3809, 15)
(3810, 2)
(3811, 16)
(3812, 14)
(3813, 17)
(3845, 13)
(3877, 13)
(3878, 13)
(3898, 13)
(3941, 2)
(3942, 15)
(3943, 16)
(3944, 13)
(3952, 13)
(3985, 3)
(3986, 3)
(3991, 13)
(3996, 13)
(4006, 1)
(4007, 1)
(4008, 1)
(4009, 1)
(4010, 1)
(4011, 1)
(4012, 1)
(4013, 1)
(4021, 2)
(4022, 16)
(4023, 15)
(4024, 3)
(4025, 2)
(4026, 3)
(4027, 15)
(4028, 16)
(4082, 13)
(4083, 17)
(4095, 13)
(4101, 1)
(4102, 1)
(4107, 1)
(4108, 1)
(4263, 13)
(4299, 2)
(4301, 15)
(4302, 16)
(4303, 3)
(4314, 13)
(4327, 13)
(4365, 13)
(4384, 3)
(4385, 2)
(4386, 15)
(4387, 16)
(4388, 1)
(4401, 13)
(4569, 13)
(4619, 13)
(4669, 13)
(4719, 13)
(4769, 13)
(4869, 13)
(4969, 13)
(5019, 13)
(5119, 13)
(5169, 13)
(5269, 13)
(5319, 13)
(5369, 13)
(10000067, 1)
(10000068, 2)
(10000069, 16)
(10000070, 15)
(6019, 13)
(6042, 13)
(6048, 13)
(6054, 13)
(6073, 13)
(6082, 10000001)
(6083, 13)
(6098, 13)
(6164, 13)
(6238, 13)
(6271, 13)
(6272, 13)
(6302, 13)
(6303, 13)
(6310, 13)
(6313, 13)
(6331, 17)
(6443, 13)
(6447, 13)
(6449, 13)
(6453, 13)
(6455, 13)
(6470, 2)
(6473, 16)
(6474, 15)
(6495, 2)
(6498, 16)
(6499, 15)
(6590, 2)
(6592, 3)
(6593, 16)
(6594, 15)
(6690, 2)
(6692, 3)
(6693, 16)
(6694, 15)
(6715, 2)
(6717, 1)
(6718, 16)
(6719, 15)
(6720, 2)
(6721, 3)
(6722, 1)
(6723, 16)
(6724, 15)
(6725, 2)
(6727, 1)
(6728, 16)
(6729, 15)
(6780, 2)
(6782, 3)
(6783, 16)
(6784, 15)
(6855, 2)
(6857, 1)
(6858, 16)
(6859, 15)
(6880, 2)
(6881, 3)
(6882, 1)
(6883, 16)
(6884, 15)
(6885, 2)
(6886, 3)
(6887, 1)
(6888, 16)
(6889, 15)
(7032, 15)
(7039, 2)
(7041, 3)
(7042, 16)
(7052, 15)
(7053, 16)
(7054, 2)
(7055, 15)
(7056, 16)
(7057, 2)
(7058, 3)
(7060, 15)
(7061, 3)
(7062, 2)
(7063, 16)
(7064, 15)
(7065, 2)
(7066, 3)
(7067, 16)
(7077, 13)
(7119, 13)
(7137, 13)
(7189, 13)
(7190, 13)
(7238, 13)
(7240, 13)
(7255, 1)
(7256, 15)
(7257, 16)
(7258, 3)
(7259, 2)
(7320, 15)
(7321, 16)
(7322, 3)
(7323, 2)
(7324, 2)
(7325, 3)
(7326, 15)
(7327, 16)
(7342, 13)
(7346, 13)
(7371, 2)
(7372, 16)
(7373, 3)
(7374, 15)
(7381, 18)
(7382, 18)
(7383, 18)
(7384, 18)
(7385, 18)
(7386, 18)
(7387, 18)
(7388, 18)
(7389, 18)
(7390, 18)
(7391, 18)
(7392, 18)
(7393, 18)
(7394, 18)
(7395, 18)
(7396, 18)
(7397, 18)
(7398, 18)
(7399, 18)
(7400, 18)
(7401, 18)
(7402, 18)
(7403, 18)
(7404, 18)
(7405, 18)
(7406, 18)
(7407, 18)
(7408, 18)
(7409, 18)
(7410, 18)
(7411, 18)
(7412, 18)
(7413, 18)
(7414, 18)
(7415, 18)
(7416, 18)
(7417, 18)
(7418, 18)
(7419, 18)
(7420, 18)
(7421, 18)
(7422, 18)
(7423, 18)
(7424, 18)
(7425, 18)
(7426, 18)
(7427, 18)
(7428, 18)
(7429, 18)
(7430, 18)
(7476, 13)
(7490, 13)
(7491, 13)
(7492, 13)
(7493, 13)
(7495, 15)
(7496, 16)
(7497, 3)
(7498, 2)
(7506, 17)
(7507, 17)
(7508, 17)
(7614, 13)
(7615, 13)
(7641, 13)
(7642, 13)
(7645, 13)
(7646, 13)
(7647, 13)
(7648, 13)
(7652, 13)
(7677, 13)
(7678, 13)
(7679, 2)
(7680, 3)
(7681, 16)
(7682, 15)
(7683, 1)
(7684, 2)
(7685, 3)
(7686, 1)
(7687, 16)
(7688, 15)
(7690, 17)
(7691, 17)
(7692, 17)
(7693, 17)
(7694, 17)
(7695, 17)
(7698, 13)
(8045, 2)
(8046, 3)
(8048, 15)
(8050, 16)
(8051, 1)
(8052, 2)
(8053, 3)
(8054, 16)
(8055, 15)
(8084, 13)
(8105, 13)
(8107, 13)
(8110, 13)
(8115, 13)
(8116, 13)
(8119, 13)
(8125, 13)
(8127, 13)
(8130, 13)
(8135, 13)
(8136, 13)
(8143, 13)
(8145, 13)
(8148, 13)
(8153, 13)
(8154, 13)
(8156, 13)
(8162, 13)
(8164, 13)
(8167, 13)
(8172, 13)
(8173, 13)
(8180, 13)
(8182, 13)
(8185, 13)
(8190, 13)
(8196, 13)
(8198, 13)
(8201, 13)
(8206, 13)
(8207, 13)
(8210, 13)
(8216, 13)
(8218, 13)
(8221, 13)
(8226, 13)
(8227, 13)
(8234, 13)
(8236, 13)
(8239, 13)
(8244, 13)
(8245, 13)
(8247, 13)
(8253, 13)
(8255, 13)
(8258, 13)
(8263, 13)
(8264, 13)
(8271, 13)
(8273, 13)
(8276, 13)
(8281, 13)
(8287, 13)
(8289, 13)
(8292, 13)
(8297, 13)
(8298, 13)
(8305, 13)
(8307, 13)
(8310, 13)
(8315, 13)
(8316, 13)
(8323, 13)
(8325, 13)
(8328, 13)
(8333, 13)
(8334, 13)
(8341, 13)
(8343, 13)
(8346, 13)
(8351, 13)
(8352, 13)
(8359, 13)
